Name	POS
볶음	NNG
라니	VCP+EC
무슨	MM
인지	VCP+EC
원	NNG
매그넘	NNP
동그랗	VA
나온	VV+ETM
혹은	MAJ
칼	NNG
깍	VV
줘서	VX+EC
양파	NNG
와	JKB
깻잎	NNG
이것저것	NNG
보단	JKB+JX
기본	NNG
인	VCP+ETM
야채	NNG
은데요	EF
구요	EF
캔	VV+ETM
옥수수	NNG
톡톡	MAG
웅	NNG
레몬	NNG
즙	NNG
놓	VX
찬물	NNG
보다	JKB
훨씬	MAG
안녕	NNG
양념	NNG
재료	NNG
양념장	NNG
만든다	VV+EC
엔	JKB+JX
뭐니뭐니	MAG
해도	VV+EC
어울리	VV
과하	VA
많이	MAG
맛집	NNG
새콤	MAG
달콤	XR
전	MM
참고	NNG
쫑	NNG
토끼	NNG
최	XPN
쪽파	NNG
줍니다	VX+EF
마늘	NNG
다진	VV+ETM
자른	VV+ETM
골고루	MAG
버무린다	VV+EC
마세요	VX+EP+EF
려면	EC
대신	NNG
파프리카	NNG
피망	NNG
마지막	NNG
고춧가루	NNG
뿌려서	VV+EC
토	NNG
토스	NNG
무침	NNG
가루	NNG
더욱	MAG
준비	NNG
곁들여	VV+EC
낸다	VX+EC
심심	XR
고요	NNG
차	VV
삶	VV
소면	NNG
함께	MAG
정말	MAG
잇	VV
퍼	VV+EC
머	NP
라면	NNG
따로	MAG
아서	EC
사리	NNG
곰돌이	NNG
혹시	MAG
매울	VA+ETM
지도	NNG
모르	VV
니까	EC
배추	NNG
싸	VV
겠	EP
넌	NP+JX
짜장	MAG
난	VV+ETM
짬뽕	NNG
불린다	VV+EC
어여	EF
행복	NNG
우기	NNG
맘	NNG
결	NNB
반대	NNG
방향	NNG
뺀다	VV+EC
도톰	NNG
뭉개지	VV
담구	VV
쓴맛	NNG
해소	NNG
됩니다	XSV+EC
진	VX+ETM
이맘	NNG
콩나물	NNG
줘	VX+EC
굴	NNG
흐르	VV
헹군	VV+ETM
밭쳐	VV+EC
냅니다	VX+EF
숨	VV
은지	EC
농	NNG
엷	VA
제맛	NNG
잃	VV
참기름	NNG
자작	NNG
끓인다	VV+EC
감칠맛	NNG
납니다	VV+EC
꽃	NNG
완두콩	NNG
들기름	NNG
셔도	EP+EC
줄이	VV
얹	VV
무우	NNG
버섯	NNG
조선간장	NNG
부추	NNG
청양	NNG
대파	NNG
참	IC
새	MM
방앗간	NNG
단백	NNG
니	EC
깊	VA
달래	VV+EC
간장	NNG
심	EP+EC
드실	VV+EP+ETM
고슬고슬	MAG
그릇	NNG
담	VV
입	NNG
대로	JKB
담백	XR
나물	NNG
맛깔	XR
스럽	XSA
양념간장	NNG
진간장	NNG
장	NNG
청량	NNG
다져서	VV+EC
김	NNP
뿌려	VV+EC
보리쌀	NNG
동안	NNG
냉동	NNG
시켜	XSV+EC
었	EP
던	ETM
생선	NNG
쌀뜨물	NNG
시간	NNG
담궈	VV+EC
았	EP
구워	VV+EC
드	VX
비	VX
릿	EF
맨	MM
쌀밥	NNG
수수	NNG
건강	NNG
흰쌀	NNG
중금속	NNG
배출	NNG
데	NNB
도움	NNG
준다고	VV+EC
백미	NNG
찬양	NNG
겨	NNG
미	NNP
흔들	VV
찐	VV+ETM
어묵	NNG
두께	NNG
요즘	NNG
마트	NNG
봉지	NNG
영양소	NNG
파괴	NNG
덜	MAG
된다고	VV+EC
네요	EF
정수	NNG
헹궈	VV+EC
아조	MAG
밑동	NNG
짠	VV+ETM
다진다	VV+EC
아이	NNG
다져	VV+EC
으시	EP
어른	NNG
는다면	EC
지구	NNG
미지근	XR
설탕물	NNG
불리	VV
국물	NNG
국	NNG
찌개	NNG
가을	NNG
불려서	VV+EC
구수	XR
여울	NNG
굴밥	NNG
자체	NNG
고유	NNG
향미	NNG
떨	VV
뜨	VV
립니	NNP
표고	NNG
마찬가지	NNG
판야	NNG
끼	NNG
뺀	VV+ETM
여구	NNG
뿐	JX
깡	NNG
고려	NNG
다른	MM
날	VV+ETM
불렸	VV+EP
또	MAG
불릴	VV+ETM
을까요	EC
파란	VA+ETM
온도	NNG
조절	NNG
충분히	MAG
중요	NNG
마진	NNG
보리	NNG
굳이	MAG
다시	MAG
알	NNG
짝	MAG
제	NP
성격	NNG
받쳐서	VV+EC
탁탁	MAG
쳐서	VV+EC
이뿌니	NNP
지만	EC
굴국밥	NNP
팔	VV
더군요	EC
백파	NNG
컵	NNG
무나	NNP
채소	NNG
끓여	VV+EC
들일	VV+ETM
조아	NNG
살릴	VV+ETM
비벼	VV+EC
더블	NNG
에스프레소	NNG
된	VV+ETM
빨리	MAG
편	NNB
아여	MAG
오래	MAG
놔두	VV
수분	NNG
빠져	VV+EC
양푸	NNP
햄	NNG
사방	NNG
길	VA
멍울	NNG
없이	MAG
데쳐서	VV+EC
김치	NNG
단무지	NNG
상큼	XR
지여	NNG
몽	NNG
댁	NNG
미니	NNG
조린	NNP
우엉	NNG
몸	NNG
분가루	NNG
찢어지	VV
부쳐	VV+EC
실	EP+ETM
녹인	VV+ETM
그냥	MAG
해요	VX+EF
단촛물	NNG
상태	NNG
생기	VV
단거	NNG
꾹꾹	MAG
눌러서	VV+EC
바르	VV
누르	VV
퍼져서	VV+EC
케익	NNG
요리사	NNG
며	EC
배	VV
밥알	NNG
살	VV
앞뒤	NNG
구워낸다	VV+EC+VX+EF
여러	MM
한다면	XSV+EC
물론	MAG
됨	VV+ETN
알싸	XR
좋아하	VV
신다면	EP+EC
겨자	NNG
매콤	XR
그걸	NP+JKO
기술	NNG
죠	EF
못	MAG
거든요	EF
무시	VA
라예	EF
가량	NNG
잘라	VV+EC
김발	NNG
평평	XR
준다	VX+EC
힘	NNG
눌러	VV+EC
져서	VX+EC
사미인곡	NNG
깨소금	NNG
오물	NNG
조물	NNG
무쳐서	VV+EC
노란	VA+ETM
보라	NNP
빛	NNG
앞치마	NNG
절인	VV+ETM
또는	MAJ
질리	VV
찰랑	MAG
소녀	NNG
당겨	VV+EC
완성	NNG
모양	NNG
예쁘	VA
영양	NNG
자신	NNG
다면	EC
쩡	MAG
맞	VV
씹히	VV
달구	VV
둘러	VV+EC
약	NNG
윗면	NNG
올려	VV+EC
돌돌	MAG
완전히	MAG
익힌다	VV+EF
남	VV
부쳐서	VV+EC
계란말이	NNG
처럼	JKB
오케이	IC
깔끔	XR
사각	MAG
쭈랭모	UNKNOWN
감자	NNG
자잘	XR
크	VA
제격	NNG
김치볶음밥	NNG
참치	NNG
쫀득쫀득	MAG
색깔	NNG
지니	EC
아빠	NNG
육수	NNG
버터	NNG
마가린	NNG
올리브유	NNG
더욱더	MAG
셔서	EP+EC
어느	MM
고추장	NNG
하나	NR
돌	NNG
찬	VV+ETM
이용	NNG
채반	NNG
펼쳐	VV+EC
날리	VV
끈기	NNG
질척	XR
해져요	XSA+EC+VX+EF
모	NP
치즈	NNG
매우	MAG
그러나	MAJ
질퍽	XR
해질	XSA+EC+VX+ETM
느끼	XR
해집니다	XSA+EC+VX+EF
후춧가루	NNG
맞추	VV
프라이	NNG
실파	NNG
모차렐라	NNP
끼얹	VV
예열	NNG
오븐	NNG
이쁘	VA
큰	VA+ETM
그리고	MAJ
그	MM
깨	VV
버럭	NNG
쟁이	XSN
했	XSV+EP
열기	NNG
슴다	EF
약하	VA
위해	VV+EC
